"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 15 16:41:43 MSK 2021","Wed Sep 15 16:41:43 MSK 2021","22","","suite sync","","suite sync","test sync","test sync",""
"passed","Wed Sep 15 16:41:44 MSK 2021","Wed Sep 15 16:41:49 MSK 2021","5699","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
